,target_up,Label,Score
0,0,0,0.8588
1,0,0,0.7037
2,0,0,0.8447
3,0,0,0.8447
4,0,0,0.7037
5,0,0,0.6569
6,0,0,0.7039
7,0,0,0.7392
8,0,0,0.6961
9,0,0,0.706
10,0,0,0.706
11,0,0,0.707
12,0,0,0.5351
13,0,0,0.8364
14,0,0,0.8632
15,0,0,0.8868
16,0,0,0.7068
17,0,0,0.6816
18,0,0,0.6816
19,1,0,0.6816
20,0,0,0.6816
21,0,0,0.8673
22,0,0,0.5053
23,0,0,0.8673
24,0,1,0.5429
25,0,0,0.5053
26,0,0,0.6816
27,0,0,0.6816
28,0,0,0.8742
29,0,0,0.8588
30,1,0,0.6816
31,0,0,0.6816
32,0,0,0.8588
33,0,0,0.8305
34,0,0,0.6329
35,0,0,0.8673
36,0,0,0.8742
37,0,0,0.8356
38,1,0,0.6816
39,0,0,0.6816
40,1,0,0.8305
41,0,0,0.8485
42,0,1,0.5486
43,0,0,0.6816
44,0,0,0.7259
45,1,0,0.6816
46,1,0,0.6816
47,0,0,0.8673
48,0,0,0.5053
49,0,0,0.6816
50,0,0,0.8742
51,0,0,0.6816
52,0,0,0.8588
53,1,0,0.6815
54,0,0,0.8404
55,1,1,0.5486
56,1,0,0.6816
57,1,0,0.6816
58,0,0,0.7259
59,1,1,0.5429
60,0,0,0.6816
61,1,1,0.5429
62,0,0,0.6816
63,0,0,0.8588
64,1,0,0.6816
65,0,0,0.7265
66,0,0,0.8305
67,1,0,0.8305
68,1,0,0.6329
69,0,0,0.6894
70,1,0,0.8305
71,1,0,0.6816
72,0,0,0.7259
73,0,0,0.8305
74,0,0,0.6816
75,0,0,0.8673
76,0,0,0.6815
77,0,0,0.8305
78,0,0,0.8356
79,1,0,0.8356
80,0,1,0.5395
81,1,0,0.8205
82,1,0,0.6236
83,0,0,0.6647
84,1,0,0.6816
85,0,0,0.6816
86,0,0,0.8673
87,0,0,0.6816
88,1,0,0.8588
89,0,0,0.7265
90,0,0,0.8305
91,0,0,0.6816
92,0,1,0.5429
93,1,1,0.5959
94,1,0,0.6816
95,0,0,0.7265
96,0,0,0.8742
97,1,0,0.8588
98,0,0,0.6815
99,1,0,0.6329
100,0,0,0.6816
101,0,0,0.8673
102,1,0,0.8588
103,0,0,0.6816
104,0,0,0.5053
105,0,0,0.8588
106,0,1,0.5429
107,0,0,0.8305
108,1,0,0.8356
109,0,0,0.6894
110,0,0,0.8531
111,1,1,0.587
112,0,0,0.6816
113,0,0,0.8588
114,0,0,0.8305
115,0,0,0.8356
116,0,0,0.8205
117,0,0,0.6236
118,0,0,0.8205
119,1,0,0.8432
120,0,0,0.6647
121,1,0,0.6816
122,0,0,0.6816
123,0,0,0.6816
124,0,0,0.6816
125,0,0,0.8588
126,1,1,0.5959
127,0,0,0.7259
128,0,0,0.8305
129,0,0,0.8356
130,0,0,0.6415
131,0,0,0.8452
132,0,0,0.6894
133,0,0,0.6816
134,0,0,0.6816
135,0,0,0.6816
136,0,0,0.8588
137,0,0,0.8673
138,0,0,0.6816
139,0,0,0.8673
140,0,0,0.8248
141,0,1,0.5774
142,0,0,0.824
143,0,0,0.8284
144,0,0,0.8284
145,0,0,0.6295
146,0,0,0.6295
147,0,0,0.8284
148,0,0,0.8447
149,0,0,0.8447
150,0,0,0.8447
151,0,0,0.8447
152,1,0,0.6569
153,1,0,0.7039
154,0,0,0.8863
155,1,0,0.7468
156,0,0,0.8447
157,0,0,0.7039
158,0,0,0.8447
159,1,0,0.8447
160,0,1,0.5226
161,0,1,0.5705
162,0,0,0.8447
163,0,0,0.8539
164,0,0,0.8447
165,1,0,0.8447
166,0,0,0.7031
167,0,0,0.8614
168,0,0,0.8447
169,1,0,0.6569
170,0,0,0.7039
171,0,0,0.7468
172,0,0,0.7039
173,0,0,0.7039
174,0,0,0.871
175,1,0,0.7039
176,0,0,0.7392
177,0,0,0.6961
178,1,0,0.706
179,0,0,0.7277
180,0,0,0.8836
181,1,0,0.5414
182,0,0,0.7277
183,0,0,0.5604
184,1,0,0.8727
185,0,0,0.707
186,0,0,0.8727
187,1,0,0.8364
188,1,0,0.8414
189,0,0,0.7195
190,0,0,0.8545
191,0,1,0.5226
192,0,0,0.8447
193,0,1,0.5226
194,1,0,0.6569
195,0,0,0.706
196,1,0,0.5124
197,0,0,0.8755
198,0,0,0.8447
199,0,0,0.8447
200,0,0,0.8447
201,0,0,0.8447
202,0,0,0.8447
203,0,0,0.8539
204,0,1,0.5226
205,0,0,0.8447
206,1,0,0.8447
207,0,0,0.7031
208,0,0,0.8614
209,0,0,0.8447
210,0,0,0.6569
211,0,0,0.6569
212,0,1,0.5705
213,0,0,0.7039
214,0,0,0.8447
215,0,0,0.8789
216,0,0,0.7037
217,0,0,0.8539
218,0,1,0.5705
219,1,0,0.8447
220,0,0,0.7039
221,1,0,0.7039
222,1,0,0.6961
223,0,0,0.706
224,0,0,0.8668
225,0,0,0.8447
226,1,1,0.5226
227,0,0,0.7039
228,0,0,0.8447
229,0,0,0.7037
230,1,0,0.6569
231,0,0,0.7462
232,0,0,0.7039
233,1,0,0.706
234,1,0,0.7277
235,0,0,0.8805
236,0,0,0.7496
237,0,0,0.8868
238,0,0,0.707
239,0,0,0.8868
240,0,0,0.8467
241,0,0,0.6816
242,0,0,0.8305
243,0,0,0.8305
244,1,0,0.8248
245,1,0,0.6329
246,0,0,0.6808
247,1,0,0.6816
248,1,0,0.6816
249,0,0,0.6816
250,0,0,0.5053
251,1,0,0.6816
252,0,0,0.6816
253,0,0,0.8588
254,0,0,0.7265
255,0,0,0.8673
256,0,0,0.6816
257,0,0,0.6816
258,0,0,0.8305
259,0,0,0.8305
260,0,0,0.8356
261,1,0,0.6329
262,0,0,0.6816
263,0,1,0.5429
264,0,0,0.8673
265,0,0,0.8305
266,1,0,0.6816
267,1,0,0.6816
268,1,0,0.5053
269,1,0,0.6816
270,0,0,0.6816
271,0,0,0.8742
272,0,0,0.8588
